Name,Homeworld,Residence,Species,Gender,Episode I,Episode II,Episode III,Episode IV,Episode V,Episode VI,First Trilogy,Second Trilogy
Adi Gallia,Coruscant,Coruscanti,Tholothian,Female,1,1,0,0,0,0,1,0
Adnama,Coruscant,Coruscanti,Human,Female,0,1,0,0,0,0,1,0
Adol Bel,Unknown,Thyferrans,Human,Male,0,0,0,0,0,0,0,0
Adon'aris,Unknown,Lianns,Twi'lek,Male,0,0,0,0,0,0,0,0
Ados Jarkey,Unknown,Naboo,Twi'lek,Male,0,0,0,0,0,0,0,0
Adran Blake,Unknown,Cularin residents,Human,Male,0,0,0,0,0,0,0,0
Adray Terson,Unknown,Coruscanti,Human,Female,0,0,0,0,0,0,0,0
Adrian Verana,Alderaan,Alderaanians,Human,Male,0,0,0,0,0,0,0,0
Adukis,Unknown,Tatooinians,Unknown,Unknown,0,0,0,0,0,0,0,0
Adum Larp,Dantooine,Dantooinians,Rodian,Male,0,0,0,0,0,0,0,0
Aelon Reglis,Chandrila,Chandrilans,Human,Male,0,0,0,0,0,0,0,0
Aered Argyris,Alderaan,Alderaanians,Unknown,Male,0,0,0,0,0,0,0,0
Aereena,Lazerian IV,Lazerians,Human,Female,0,0,0,0,0,0,0,0
Aerin Dlarit,Thyferra,Thyferrans,Human,Male,0,0,0,0,0,0,0,0
Aerowynn,Unknown,Drall,Drall,Male,0,0,0,0,0,0,0,0
Aervis Wint,Unknown,Cularin residents,Gungan,Male,0,0,0,0,0,0,0,0
Afyon,Alderaan,Alderaanians,Human,Male,0,0,0,0,0,0,0,0
Aga Culpa,Unknown,Nar Shaddaa residents,Unknown,Male,0,0,0,0,0,0,0,0
Agen Kolar,Coruscant,Coruscanti,Zabrak,Male,0,1,1,0,0,0,1,0
Agrippa Aldrete,Alderaan,Alderaanians,Human,Male,1,0,0,0,0,0,1,0
Agtor,Tatooine,Tatooinians,Gamorrean,Male,0,0,0,0,0,0,0,0
Aguilae,Tatooine,Tatooinians,Jawa,Female,0,0,0,0,0,0,0,0
Ahalas Svindren,Commenor,Commenori,Unknown,Male,0,0,0,0,0,0,0,0
Ahlan Matale,Unknown,Dantooinians,Human,Male,0,0,0,0,0,0,0,0
Ahlya,Unknown,Cularin Belt residents,Human,Female,0,0,0,0,0,0,0,0
Aia,Bogg 4,Bogden residents,Near-Human,Male,0,0,0,0,0,0,0,0
Aichiya Wonn,Unknown,Tatooinians,Unknown,Unknown,0,0,0,0,0,0,0,0
Aidarro,Unknown,Tatooinians,Bith,Male,0,0,0,0,0,0,0,0
Aidel Saxan,Corellia,Corellians,Human,Female,0,0,0,0,0,0,0,0
Aimee Kraeff,Ord Mantell,Mantellians,Human,Female,0,0,0,0,0,0,0,0
Aisala,Tatooine,Tatooinians,Human,Female,0,1,0,0,0,0,1,0
Ajai Fel,Corellia,Corellians,Human,Female,0,0,0,0,0,0,0,0
Ajuur,Taris,Tarisians,Hutt,Male,0,0,0,0,0,0,0,0
Ak-Buz,Sriluur,Tatooinians,Weequay,Male,0,0,0,0,0,0,0,0
Aken (Ferroan),Zonama Sekot,Sekotans,Ferroan,Female,0,0,0,0,0,0,0,0
Akenathen Tandin,Onderon,Onderonians,Human,Male,0,0,0,0,0,0,0,0
Akers Radch,Unknown,Corellians,Unknown,Male,0,0,0,0,0,0,0,0
Akial,Unknown,Almas residents,Jawa,Male,0,0,0,0,0,0,0,0
Akkere,Unknown,Dantooinians,Sullustan,Male,0,0,0,0,0,0,0,0
Akkik,Tatooine,Tatooinians,Jawa,Male,0,0,0,0,0,0,0,0
Akkus Meik,Unknown,Corellians,Unknown,Male,0,0,0,0,0,0,0,0
Aklan Urshant,Demophon,Demophonians,Human,Male,0,0,0,0,0,0,0,0
Akobi,Ralltiir,Ralltiiri,Human,Male,0,0,0,0,0,0,0,0
AlGray,Relephon Moons,Hapans,Hapan,Female,0,0,0,0,0,0,0,0
Al T. Nadder,Unknown,Abregado-rae,Devaronian,Male,0,0,0,0,0,0,0,0
Ala Kimbo,Corellia,Corellians,Human,Male,0,0,0,0,0,0,0,0
Alakai Trotter,Tatooine,Tatooinians,Unknown,Male,0,0,0,0,0,0,0,0
Alana Walden,Corellia,Corellians,Human,Female,0,0,0,0,0,0,0,0
Alarik X,Lazerian IV,Lazerians,Human,Male,0,0,0,0,0,0,0,0
Alaytia Taverre,Kessel,Kesselians,Unknown,Unknown,0,0,0,0,0,0,0,0
Albee,Unknown,Batuu residents,Abednedo,Unknown,0,0,0,0,0,0,0,0
Albrek (junior),Alderaan,Alderaanians,Unknown,Male,0,0,0,0,0,0,0,0
Albrek (senior),Alderaan,Alderaanians,Unknown,Male,0,0,0,0,0,0,0,0
Alderaan consulate chief,Unknown,Alderaanians,Unknown,Unknown,0,0,0,0,0,0,0,0
Alderaanian,Unknown,Alderaanians,Alder-Espirion,Unknown,0,1,1,1,1,1,1,1
Alduq Besene,Unknown,Tatooinians,Human,Male,0,0,0,0,0,0,0,0
Aleema Finn,Coruscant,Coruscanti,Omwati,Female,0,0,0,0,0,0,0,0
Aleema Keto,Empress Teta,Tetans,Human,Female,0,0,0,0,0,0,0,0
Alek Ben-Faris,Brentaal IV,Brentaalans,Human,Male,0,0,0,0,0,0,0,0
Aleq Armond,Unknown,Corulag residents,Unknown,Male,0,0,0,0,0,0,0,0
Aleson Gray,Relephon Moons,Hapans,Hapan,Male,0,0,0,0,0,0,0,0
Alethios,Alderaan,Alderaanians,Human,Male,0,0,0,0,0,0,0,0
Alexandra Winger,Unknown,Garosians,Human,Female,0,0,0,0,0,0,0,0
Alexi Garyn,Ralltiir,Ralltiiri,Human,Male,0,0,0,0,0,0,0,0
Alexir Lands,Bellassa,Bellassans,Human,Male,0,0,0,0,0,0,0,0
Alexsandr Kallus,Coruscant,Coruscanti,Human,Male,0,0,0,0,0,0,0,0
Alferon Choots Bemming,Coruscant,Coruscanti,Human,Male,0,0,0,0,0,0,0,0
Algarian (race),Unknown,Algarians,Unknown,Unknown,0,0,0,0,0,0,0,0
Algrann,Unknown,Outbound Flight residents,Unknown,Male,0,0,0,0,0,0,0,0
Alhond Robari,Unknown,Manaan residents,Unknown,Male,0,0,0,0,0,0,0,0
Aliea Tanner,Esseles,Esselians,Unknown,Female,0,0,0,0,0,0,0,0
Alikka Nolan,Hargeeva,Hargeevans,Human,Female,0,0,0,0,0,0,0,0
Alim'Gen,Nar Shaddaa,Nar Shaddaa residents,Human,Male,0,0,0,0,0,0,0,0
Alima,Coruscant,Coruscanti,Human,Male,0,0,0,0,0,0,0,0
Alina Impeveri,Cularin,Cularin residents,Human,Female,0,0,0,0,0,0,0,0
Alinka Aloo,Coruscant,Coruscanti,Human,Female,0,0,0,0,0,0,0,0
Alisande,Shiva IV,Shiva IV residents,Human,Female,0,0,0,0,0,0,0,0
Alita Sweetwater,Tatooine,Tatooinians,Unknown,Female,0,0,0,0,0,0,0,0
Aliza Darsk,Unknown,Coruscanti,Human,Female,0,1,0,0,0,0,1,0
Alkhara,Unknown,Tatooinians,Unknown,Male,0,0,0,0,0,0,0,0
Allania Jakien,Bespin,Bespinites,Human,Female,0,0,0,0,0,0,0,0
Allania Jakien's father,Bespin,Bespinites,Human,Male,0,0,0,0,0,0,0,0
Allania Jakien's mother,Bespin,Bespinites,Human,Female,0,0,0,0,0,0,0,0
Allian,Alderaan,Alderaanians,Human,Male,0,0,0,0,0,0,0,0
Alliin Mepou,Unknown,Corellians,Human,Male,0,0,0,0,0,0,0,0
Allura,Unknown,Tatooinians,Human,Female,0,0,0,0,0,0,0,0
Almar Varangi Ferd,Corellia,Corellians,Human,Male,0,0,0,0,0,0,0,0
Aloo family,Unknown,Coruscanti,Human,Unknown,0,0,0,0,0,1,0,1
Aloor,Unknown,Dalicron-4 residents,Ithorian,Male,0,0,0,0,0,0,0,0
Alor Keto,Unknown,Tetans,Unknown,Male,0,0,0,0,0,0,0,0
Alpiett Gredge,Brentaal IV,Brentaalans,Human,Male,0,0,0,0,0,0,0,0
Alreeda Tion-Hyme,Unknown,Lianns,Unknown,Unknown,0,0,0,0,0,0,0,0
Alres Demophon,Unknown,Demophonians,Unknown,Unknown,0,0,0,0,0,0,0,0
Alroy Kever,Lazerian IV,Lazerians,Human,Unknown,0,0,0,0,0,0,0,0
Altaca,Alderaan,Alderaanians,Human,Male,0,0,0,0,0,0,0,0
Althon,Dodz,Dodz residents,Human,Male,0,0,0,0,0,0,0,0
Alto Stratus,Jabiim,Jabiimi,Human,Male,0,0,0,0,0,0,0,0
Alva,Ord Mantell,Mantellians,Human,Female,0,0,0,0,0,0,0,0
Alvania,Unknown,Coruscanti,Zabrak,Female,0,0,0,0,0,0,0,0
Alya Aldrete,Alderaan,Alderaanians,Human,Female,0,0,0,0,0,0,0,0
Alyak,Fyodos,Fyodoi,Human,Female,0,0,0,0,0,0,0,0
Alyava Thomcro,Unknown,Dantooinians,Human,Female,0,0,0,0,0,0,0,0
Amanoa,Onderon,Onderonians,Human,Female,0,0,0,0,0,0,0,0
Amar Cros,Unknown,Nyriaan residents,Human,Male,0,0,0,0,0,0,0,0
Amarent Loren,Unknown,Corellians,Human,Male,0,0,0,0,0,0,0,0
Amatha Fetz,Lianna,Lianns,Human,Female,0,0,0,0,0,0,0,0
Amber Comark,Chandrila,Chandrilans,Human,Female,0,0,0,0,0,0,0,0
Ame Llom,Coruscant,Coruscanti,Unknown,Female,0,1,0,0,0,0,1,0
Amee,Tatooine,Tatooinians,Human,Female,1,0,0,0,0,0,1,0
Ames Miss'd,Unknown,Corellians,Human,Male,0,0,0,0,0,0,0,0
Amie Antin,Bellassa,Bellassans,Human,Female,0,0,0,0,0,0,0,0
Amilyn Holdo,Gatalenta,Gatalentans,Human,Female,0,0,0,0,0,0,0,0
Amin Galingal,Unknown,Cularin residents,Cerean,Male,0,0,0,0,0,0,0,0
Amir D'Vail,Unknown,Druckenwell residents,Unknown,Male,0,0,0,0,0,0,0,0
Amyva Va'new,Unknown,Talusians,Ithorian,Female,0,0,0,0,0,0,0,0
An'Kwee,Unknown,Tatooinians,Twi'lek,Female,0,0,0,0,0,0,0,0
Anabar,Tatooine,Tatooinians,Human,Male,0,0,0,0,0,0,0,0
Anachro,Tatooine,Tatooinians,Hutt,Female,0,0,0,0,0,0,0,0
Anakin Skywalker,Tatooine,Mustafar residents,Human,Male,1,1,1,1,1,1,1,1
Anakin Solo,Coruscant,Coruscanti,Human,Male,0,0,0,0,0,0,0,0
Anandra Milon,Alderaan,Alderaanians,Human,Female,0,0,0,0,0,0,0,0
Anandra Milon's father,Alderaan,Alderaanians,Human,Male,0,0,0,0,0,0,0,0
Anandra Milon's mother,Alderaan,Alderaanians,Human,Female,0,0,0,0,0,0,0,0
Anandra Milon's next door neighbor,Unknown,Coruscanti,Unknown,Female,0,0,0,0,0,0,0,0
Anandra Milon's uncle,Unknown,Coruscanti,Human,Male,0,0,0,0,0,0,0,0
Anatta,Unknown,Tatooinians,Toydarian,Male,0,0,0,0,0,0,0,0
Anaxsi,Unknown,Anaxes residents,Unknown,Unknown,0,0,0,0,0,0,0,0
Anda,Onderon,Onderonians,Human,Female,0,0,0,0,0,0,0,0
Anderam,Alderaan,Alderaanians,Human,Male,0,0,0,0,0,0,0,0
Andi Dae,Unknown,Cularin residents,Twi'lek,Male,0,0,0,0,0,0,0,0
Andi Tolen,Tatooine,Tatooinians,Human,Female,0,0,0,0,0,0,0,0
Andra's father,Telos IV,Telosians,Human,Male,0,0,0,0,0,0,0,0
Andra (Telos IV),Telos IV,Telosians,Human,Female,0,0,0,0,0,0,0,0
Andra Cressen,Alderaan,Alderaanians,Human,Female,0,0,0,0,0,0,0,0
Andra Cressen's mother,Unknown,Alderaanians,Unknown,Unknown,0,0,0,0,0,0,0,0
Andren Biel,Coruscant,Coruscanti,Human,Male,0,0,0,0,0,0,0,0
Andrithal Robb-Voti,Taris,Tarisians,Human,Female,0,0,0,0,0,0,0,0
Andro Hoverdale,Unknown,Tatooinians,Unknown,Male,0,0,0,0,0,0,0,0
Andronikos Revel,Corellia,Corellians,Human,Male,0,0,0,0,0,0,0,0
AndroosinLiann,Eriadu,Eriaduans,Troig,Male,0,0,0,0,0,0,0,0
Andus Urshant,Demophon,Demophonians,Human,Male,0,0,0,0,0,0,0,0
Anetia Kah'ryn,Unknown,Tatooinians,Twi'lek,Female,0,0,0,0,0,0,0,0
Angela,Corellia,Corellians,Human,Female,0,0,0,0,0,0,0,0
Anim Kahn,Tatooine,Tatooinians,Human,Female,0,0,0,0,0,0,0,0
Anistia Qu,Unknown,Cularin residents,Unknown,Unknown,0,0,0,0,0,0,0,0
Anita B'ath,Unknown,Corellians,Human,Female,0,0,0,0,0,0,0,0
Anitol Rosspar,Coruscant,Coruscanti,Human,Male,0,0,0,0,0,0,0,0
Anjali,Onderon,Onderonians,Unknown,Female,0,0,0,0,0,0,0,0
Anjet Okeco,Unknown,Coruscanti,Unknown,Male,0,0,0,0,0,0,0,0
Anki Pace,Carida,Agamari,Human,Female,0,0,0,0,0,0,0,0
Anky Fremp,Nar Shaddaa,Nar Shaddaa residents,Skup,Male,0,0,0,0,0,0,0,0
Anna,Unknown,Dalicron-4 residents,Unknown,Unknown,0,0,0,0,0,0,0,0
Annali Bissa,Corellia,Corellians,Unknown,Unknown,0,0,0,0,0,0,0,0
Anni Capstan,Corellia,Corellians,Unknown,Female,0,0,0,0,0,0,0,0
Anni Capstan's mother,Unknown,Corellians,Unknown,Unknown,0,0,0,0,0,0,0,0
Annileen Calwell,Tatooine,Tatooinians,Human,Female,0,0,0,0,0,0,0,0
Annissya,Unknown,Corellians,Human,Female,0,0,0,0,0,0,0,0
Annor Fash,Unknown,Corellians,Rodian,Male,0,0,0,0,0,0,0,0
Anod,Velmor,Velmorians,Human,Male,0,0,0,0,0,0,0,0
Anosek,Onderon,Onderonians,Human,Male,0,0,0,0,0,0,0,0
Anoser,Onderon,Onderonians,Human,Female,0,0,0,0,0,0,0,0
Anson Blazer,Corellia,Corellians,Human,Male,0,0,0,0,0,0,0,0
Anta,Unknown,Batuu residents,Human,Female,0,0,0,0,0,0,0,0
Antares Draco,Unknown,Bastion residents,Human,Male,0,0,0,0,0,0,0,0
Antbbianplourr III,Eiattu 6,Eiattuans,Human,Male,0,0,0,0,0,0,0,0
Antone,Bakura,Bakurans,Human,Male,0,0,0,0,0,0,0,0
Antruse family,Unknown,Bakurans,Unknown,Unknown,0,0,0,0,0,0,0,0
Anya (Batuu),Unknown,Batuu residents,Human,Female,0,0,0,0,0,0,0,0
Anya (Serenno),Serenno,Serennian,Human,Female,0,0,0,0,0,0,0,0
Anya Darklighter,Tatooine,Tatooinians,Human,Female,0,0,0,0,0,0,0,0
Anya Foravis,Bakura,Bakurans,Bakuran,Female,0,0,0,0,0,0,0,0
Anya Razar,Coruscant,Coruscanti,Human,Female,0,0,0,0,0,0,0,0
Anyza Ekull,Unknown,Corellians,Twi'lek,Female,0,0,0,0,0,0,0,0
Aoloiloa,Unknown,Coruscanti,Cephalon,Unknown,0,0,0,0,0,0,0,0
Ap'Sareb,Telos IV,Telosians,Unknown,Unknown,0,0,0,0,0,0,0,0
Apwar Trigit,Coruscant,Coruscanti,Human,Male,0,0,0,0,0,0,0,0
Aquato Boliscon,Socorro,Socorrans,Human,Male,0,0,0,0,0,0,0,0
Ar'alani,Unknown,Csillans,Chiss,Female,0,0,0,0,0,0,0,0
Arada Turhaya,Corellia,Corellians,Human,Male,0,0,0,0,0,0,0,0
Aral tukor Viest,Unknown,Lorrdians,Lorrdian,Female,0,0,0,0,0,0,0,0
Arani Korden,Naboo,Naboo,Human,Female,0,0,0,0,0,0,0,0
Arbo,Coruscant,Coruscanti,Unknown,Unknown,0,0,0,0,0,0,0,0
Arcel Mosbree,Brentaal IV,Brentaalans,Human,Male,0,0,0,0,0,0,0,0
Archa Sabis,Unknown,Coruscanti,Human,Male,0,0,0,0,0,0,0,0
Archex,Jakku,Batuu residents,Human,Male,0,0,0,0,0,0,0,0
Archiban Frodrick Kimble,Ralltiir,Ralltiiri,Human,Male,0,0,0,0,0,0,0,0
Ardan,Brentaal IV,Brentaalans,Human,Male,0,0,0,0,1,0,0,1
Ardax,Chandrila,Chandrilans,Human,Male,0,0,0,0,0,0,0,0
Ardle,Thyferra,Thyferrans,Human,Male,0,0,0,0,0,0,0,0
Ardon (Galactic Civil War),Unknown,Kashyyyk residents,Human,Male,0,0,0,0,0,0,0,0
Ardun Kothe,Dantooine,Dantooinians,Human,Male,0,0,0,0,0,0,0,0
Aren Folee,Toprawa,Toprawans,Human,Female,0,0,0,0,0,0,0,0
Arend Shen,Unknown,Bespinites,Pantoran,Male,0,0,0,0,0,0,0,0
Areta Bell,Corellia,Corellians,Human,Female,0,0,0,0,0,0,0,0
Argus Tanzer,Alderaan,Alderaanians,Human,Male,0,0,0,0,0,0,0,0
Arhul Holt,Anaxes,Anaxes residents,Unknown,Unknown,0,0,0,0,0,0,0,0
Arian Laabann,Eiattu 6,Eiattuans,Human,Male,0,0,0,0,0,0,0,0
Arias,Unknown,Nar Shaddaa residents,Human,Male,0,0,0,0,0,0,0,0
Aric Jorgan,Rendili,Rendili residents,Cathar ,Male,0,0,0,0,0,0,0,0
Ariela,Alderaan,Alderaanians,Human,Female,0,0,0,0,0,0,0,0
Ariela's mother,Alderaan,Alderaanians,Human,Female,0,0,0,0,0,0,0,0
Ariela's sister,Alderaan,Alderaanians,Human,Female,0,0,0,0,0,0,0,0
Ariella,Unknown,Almas residents,Unknown,Female,0,0,0,0,0,0,0,0
Arihnda Pryce,Lothal,Lothalites,Human,Female,0,0,0,0,0,0,0,0
Arin,Unknown,Cularin residents,Unknown,Unknown,0,0,0,0,0,0,0,0
Ariq Joanson,Tatooine,Tatooinians,Human,Male,0,0,0,0,0,0,0,0
Ariq Melvar,Coruscant,Coruscanti,Human,Male,0,0,0,0,0,0,0,0
Aris Shen,Unknown,Bespinites,Pantoran,Female,0,0,0,0,0,0,0,0
Arjon F.M.P.,Ord Mantell,Mantellians,Human,Female,0,0,0,0,0,0,0,0
Ark Brell,Taris,Tarisians,Unknown,Male,0,0,0,0,0,0,0,0
Arla Fett,Concord Dawn,Concord Dawn residents,Human,Female,0,0,0,0,0,0,0,0
Arlo Hirken,Alsakan,Alsakanians,Human,Male,0,0,0,0,0,0,0,0
Arlumek,Unknown,Coruscanti,Cragmoloid,Male,0,0,0,0,0,0,0,0
Armanda Durkin,Tatooine,Tatooinians,Human,Female,0,0,0,0,0,0,0,0
Arnama,Naboo,Naboo,Human,Male,0,0,0,0,0,0,0,0
Arne Marson,Unknown,Coruscanti,Unknown,Unknown,0,0,0,0,0,0,0,0
Arno (Tatooinian),Tatooine,Tatooinians,Human,Male,0,0,0,0,0,0,0,0
Aron Peacebringer,Shiva IV,Shiva IV residents,Human,Male,0,0,0,0,0,0,0,0
Aros,Unknown,Hapans,Hapan,Female,0,0,0,0,0,0,0,0
Arrad,Lanteeb,Lanteebans,Human,Male,0,0,0,0,0,0,0,0
Arran Flekk,Naboo,Naboo,Human,Unknown,0,0,0,0,0,0,0,0
Arrianya Bel Iblis,Corellia,Corellians,Human,Female,0,0,0,0,0,0,0,0
Arrisan Djo,Coruscant,Coruscanti,Human,Male,0,0,0,0,0,0,0,0
Arrizza,Bakura,Bakurans,Kurtzen,Male,0,0,0,0,0,0,0,0
Arrogha,Unknown,Cularin residents,Wookiee,Male,0,0,0,0,0,0,0,0
Arrud Barsoomu,Unknown,Tatooinians,Twi'lek,Male,0,0,0,0,0,0,0,0
Arruna,Najiba,Najiba residents,Twi'lek,Female,0,0,0,0,0,0,0,0
Arta Kleidun,Unknown,Batuu residents,Twi'lek,Female,0,0,0,0,0,0,0,0
Artar Mothma,Chandrila,Chandrilans,Unknown,Unknown,0,0,0,0,0,0,0,0
Artogg,Tatooine,Tatooinians,Gamorrean,Male,0,0,0,0,0,0,0,0
Artuo Pratuhr,Unknown,Coruscanti,Human,Male,0,1,0,0,0,0,1,0
Arvid Scraf,Unknown,Nam Chorios residents,Human,Male,0,0,0,0,0,0,0,0
Aryn Dro Thul,Alderaan,Alderaanians,Human,Female,0,0,0,0,0,0,0,0
Arzanon,Unknown,Korriban residents,Human,Male,0,0,0,0,0,0,0,0
Asadia Boresa,Coruscant,Coruscanti,Twi'lek,Female,0,0,0,0,0,0,0,0
Ashala Ma-dred,Kashir,Kashirim,Human,Female,0,0,0,0,0,0,0,0
Ashana,Taris,Tarisians,Human,Female,0,0,0,0,0,0,0,0
Askroh,Unknown,Bespinites,Unidentified horse-like species,Male,0,0,0,0,0,0,0,0
Asora,Unknown,Cularin residents,Farghul,Female,0,0,0,0,0,0,0,0
Asset K-33's spouse,Unknown,Kuati,Unknown,Unknown,0,0,0,0,0,0,0,0
Astarta,Terephon,Hapans,Hapan,Female,0,0,0,0,0,0,0,0
Astarte line,Unknown,Celanon residents,Human,Unknown,0,0,0,0,0,0,0,0
Astina Griek,Hargeeva,Hargeevans,Human,Female,0,0,0,0,0,0,0,0
Astor,Ahakista,Ahakistans,Human,Male,0,0,0,0,0,0,0,0
Astri Oddo,Coruscant,Coruscanti,Human,Female,0,0,0,0,0,0,0,0
Asu,Unknown,Keelia residents,Human,Male,0,0,0,0,0,0,0,0
Atallo,Telos IV,Telosians,Unknown,Male,0,0,0,0,0,0,0,0
Atetu,Unknown,Tatooinians,Jawa,Unknown,0,0,0,0,0,0,0,0
Athnalu,Unknown,Kashyyyk residents,Wookiee,Female,0,0,0,0,0,0,0,0
Athok Dinvar,Naboo,Naboo,Human,Male,0,0,0,0,0,0,0,0
Atlan Dubreas,Unknown,Corellians,Trandoshan,Male,0,0,0,0,0,0,0,0
Atril Tabanne,Coruscant,Coruscanti,Human,Female,0,0,0,0,0,0,0,0
Attichitcuk,Unknown,Kashyyyk residents,Wookiee,Male,0,0,0,0,0,0,0,0
Attichitcuk's father,Kashyyyk,Kashyyyk residents,Wookiee,Male,0,0,0,0,0,0,0,0
Attico Wred,Corellia,Corellians,Human,Male,0,0,0,0,0,0,0,0
Attiera,Kashyyyk,Kashyyyk residents,Wookiee,Female,0,0,0,0,0,0,0,0
Atton Rand,Alderaan,Alderaanians,Human,Male,0,0,0,0,0,0,0,0
Augin Blaesus,Erigorm,Erigorm residents,Human,Male,0,0,0,0,0,0,0,0
Augusta I'att,Druckenwell,Druckenwell residents,Human,Female,0,0,0,0,0,0,0,0
Aulus G'luun,Unknown,Coruscanti,Gand,Male,0,0,0,0,0,0,0,0
Aunuanna,Nar Shaddaa,Nar Shaddaa residents,Human,Female,0,0,0,0,0,0,0,0
Auren Yomm Baobab,Roon,Roon residents,Human,Female,0,0,0,0,0,0,0,0
Aurin Leith,Coruscant,Coruscanti,Human,Female,0,0,0,0,0,0,0,0
Avamarivash,Tython,Tythans,Unknown,Male,0,0,0,0,0,0,0,0
Avan Post,Chandrila,Chandrilans,Human,Male,0,0,0,0,0,0,0,0
Avarik,Corulag,Corulag residents,Human,Male,0,0,0,0,0,1,0,1
Aveso Ars,Kashyyyk,Kashyyyk residents,Zabrak,Female,0,0,0,0,0,0,0,0
Aya-Glon,Lew'el,Lew'elans,Human,Female,0,0,0,0,0,0,0,0
Ayn Eckener,Unknown,Naboo,Human,Female,0,0,0,0,0,0,0,0
Ayo Morota,Coruscant,Coruscanti,Unknown,Female,0,0,0,0,0,0,0,0
Ayx,Unknown,Nar Shaddaa residents,Human,Male,0,0,0,0,0,0,0,0
Azanti Zhug,Unknown,Nar Shaddaa residents,Duros,Male,0,0,0,0,0,0,0,0
Azlyn Rae,Unknown,Bastion residents,Human,Female,0,0,0,0,0,0,0,0
